"","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","Mean","126",2.77963489144862,6.12775064208341,1.51855306318612,-1.02231958506619,0.00351494315943357,2.37975053176373e-06
"2","Median","126",3.4594163878858,7.57166937453298,1.84418397277337,-1.24109990082113,0.000505546978408847,0.456231484039407
"3","Mean","553",4.45656922522764,13.5098406379372,1.97214234120517,-1.49437923800948,0.00248468763702104,0.254090303071316
"4","Median","553",4.40717979152993,11.01676535935,2.13853963345506,-1.48323498183502,0.000357253877642312,0.37280987018843
"5","STD","126",3.27573494455081,6.03680468120965,1.91329072970673,-1.1865422544608,4.53077134003109e-05,0.0591495265344929
"6","Shanon","126",2.67407018964899,4.60251245661063,1.62227599971831,-0.983601727269057,0.000196635638350077,0.079444069232816
"7","STD","553",3.48314599642628,6.53818165923419,2.01305972102743,-1.24793590736621,2.81671562625304e-05,0.13714159340664
"8","Shanon","553",2.87971440957303,5.01056560351806,1.73835834056566,-1.05769112588815,8.05694125674258e-05,0.266062166114597
"9","SampEn","126",4.16502212746313,2.24630505792025,8.53674460140782,1.42672158832093,2.50998451261376e-05,0.479947751867718
"10","ETC","126",2.4516736245593,1.46402217726034,4.42023814383429,0.896770903406812,0.00130308261992707,0.925713196269873
"11","SampEn","553",3.18694033643378,1.82019639293567,6.02481669334612,1.15906131434179,0.000129398818392432,0.892497893342969
"12","ETC","553",2.27736528074603,1.36745297029115,4.11396022598958,0.823019196150397,0.00304063248324616,0.570640069916096
