"","Number_timepoints","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","1","Mean","126",3.66105197322704,9.97056034374892,1.74642744083367,-1.29775053049378,0.00384018120369484,1
"2","1","Median","126",4.0668939182706,9.77989921594322,2.01983496550555,-1.40287954305174,0.000485375562535144,0.849573244163844
"3","1","Mean","553",4.8227268053498,16.2213037172228,1.98041422583499,-1.57333949535017,0.00404924136699588,0.387995464137492
"4","1","Median","553",4.83968874697054,13.0435464256125,2.22717994999985,-1.5768504101835,0.000462473379294863,0.822724145601193
"5","1","STD","126",3.46578063341997,6.43041250228307,2.0127441392738,-1.24293789829795,2.34003159942943e-05,0.038527313615743
"6","1","Shanon","126",2.84453491242226,4.95060085944841,1.71173270351016,-1.04539957879197,0.000102667372159605,0.0653684202689085
"7","1","STD","553",3.49500478530431,6.55140941800741,2.02245013747747,-1.25133474487062,2.55031806924922e-05,0.105804354785541
"8","1","Shanon","553",3.07020930579757,5.41893170748558,1.83695952252094,-1.12174573705933,4.27484219495051e-05,0.151650209441283
"9","1","SampEn","126",4.41579934133924,2.36861432215388,9.07759483040532,1.48518886893409,1.29173796368574e-05,0.95993559960996
"10","1","ETC","126",2.83217793381207,1.65658186208814,5.1859414818806,1.04104600359367,0.000313960747361883,0.970371476676052
"11","1","SampEn","553",3.51386905601542,1.95319994119503,6.93108749001242,1.25671772555763,8.82188688108005e-05,0.744331724983702
"12","1","ETC","553",2.2685601108391,1.37042936858632,3.9606867423184,0.819145317826404,0.00227625212680728,0.829326425813172
"13","6","Mean","126",3.56871432954878,9.40862189082892,1.73461658568,-1.27220539914947,0.00331724839456487,1
"14","6","Median","126",3.69398989177703,9.00501625583203,1.84013544490271,-1.30670714538376,0.00125665001793441,0.199032712600446
"15","6","Mean","553",4.61489989156892,14.9320978436362,1.96281488720163,-1.52929017575181,0.00351832704321956,0.303104219978437
"16","6","Median","553",4.34857562036742,12.3599338089828,1.98077992991106,-1.46984834788554,0.00163942353498024,0.738432748197773
"17","6","STD","126",3.6132416148202,6.77933207325661,2.08031802183925,-1.28460532366889,1.75324374944122e-05,0.12720102553146
"18","6","Shanon","126",2.76173082662297,4.78763966482483,1.66655971963316,-1.01585759427235,0.000145750698872556,0.113156340992755
"19","6","STD","553",3.70642531754527,7.05703626704264,2.11769199746873,-1.3100678858614,1.70490092824325e-05,0.201406613912487
"20","6","Shanon","553",2.70455578820767,4.67962717710384,1.64021460099817,-0.994937680035864,0.000179319003549903,0.276774873831527
"21","6","SampEn","126",3.37980199325676,1.86645408307643,6.76684261237315,1.21781712590224,0.00018424000866243,0.735374287764889
"22","6","ETC","126",2.2656991424036,1.32491697300395,4.28767552155903,0.817883383448424,0.00608621478637866,0.726730366194709
"23","6","SampEn","553",2.69026177011397,1.5531661590166,5.06936080863381,0.989638501189237,0.000909245037830262,0.492794927869549
"24","6","ETC","553",2.26861973365477,1.33662608737324,4.26971850622351,0.819171599709736,0.00528873923984965,0.998823883717836
"25","13","Mean","126",2.97933536201646,7.28054356859095,1.53809470885233,-1.0917002427614,0.00565400568726549,1
"26","13","Median","126",3.11142944361299,7.75056049566751,1.57769140733702,-1.13508224876585,0.00496339359702471,1
"27","13","Mean","553",3.82395470225195,11.7595391264182,1.73552213161957,-1.34128514947358,0.00636616815215883,1
"28","13","Median","553",3.66623080501813,11.2141350642852,1.67147915918117,-1.29916410570581,0.00746624061241573,1
"29","13","STD","126",3.37200383374874,6.29893416662965,1.94499426745327,-1.21550717707513,4.40578378800783e-05,0.638491241412222
"30","13","Shanon","126",3.17401247008244,5.78100614225926,1.85528126433047,-1.15499655091894,6.07701989774691e-05,0.56564834776268
"31","13","STD","553",3.68033811612993,7.13081389039851,2.08144181008839,-1.30300462734332,2.84539068658664e-05,0.509712956869591
"32","13","Shanon","553",3.09592265899351,5.58244056661247,1.82116941798663,-1.1300859744702,6.86548293809808e-05,0.858874346887037
"33","13","SampEn","126",2.02415314008414,1.22893821301295,3.48493680027061,0.705151410659893,0.00715805899404005,0.103853597506035
"34","13","ETC","126",1.84987049664043,1.14457930817305,3.20637354698481,0.61511563482401,0.0164938682959948,0.534656795740756
"35","13","SampEn","553",1.79637388896387,1.09796240992179,3.04199807252745,0.585770126924222,0.0219114142706833,0.0167225333095463
"36","13","ETC","553",1.97685188765147,1.19786454013911,3.55852200016899,0.681505623653866,0.0120015074880571,0.871856035564341
